building_name,address,location,clean_location
MOSHER ALUMN,CORE CAMPUS,SANTA BARBARA,SANTA BARBARA
NORTH HALL,CORE CAMPUS,SANTA BARBARA,SANTA BARBARA
POLICE 317,CORE CAMPUS,SANTA BARBARA,SANTA BARBARA
REC STG 537,CORE CAMPUS,SANTA BARBARA,SANTA BARBARA
SAN RAFAEL M,CORE CAMPUS,SANTA BARBARA,SANTA BARBARA
SCI FAC NO 7,CRUZ ISSALNATNAD,SANTA BARBARA,SANTA BARBARA
SNARL HDQT,MORRISO 1N0 R23D MT,SANTA BARBARA,SANTA BARBARA
SRB,CORE CAMPUS,SANTA BARBARA,SANTA BARBARA
STK APT 762,LAUREL W78A6L K,SANTA BARBARA,SANTA BARBARA
STK APT 772,LAUREL W78A6L K,SANTA BARBARA,SANTA BARBARA
STK APT 783,LAUREL 7W8A6L K,SANTA BARBARA,SANTA BARBARA
STK APT 794,LAUREL W69A0L0K,SANTA BARBARA,SANTA BARBARA
SY ACTIV 815,COLEGIO &EL L OS,SANTA BARBARA,SANTA BARBARA
SY APTS 807,COLEGIO &EL L OS,SANTA BARBARA,SANTA BARBARA
SY APTS 821,COLEGIO E&L L OS,SANTA BARBARA,SANTA BARBARA
THTR DNCE E,CORE CAMPUS,SANTA BARBARA,SANTA BARBARA
WEST STG 367,STORKE RD,SANTA BARBARA,SANTA BARBARA
WST APT 707,WALK & SBTOOLTROKNE,SANTA BARBARA,SANTA BARBARA
WST APT 717,WALK & SBOTOLTROKNE,SANTA BARBARA,SANTA BARBARA
WST APT 727,WALK & SBTOOLTROKNE,SANTA BARBARA,SANTA BARBARA
WST CHLD CTR,STORKE SRODUTH,SANTA BARBARA,SANTA BARBARA
WST HTR 740,WALK & BSTOOLTROKNE,SANTA BARBARA,SANTA BARBARA
WST HTR 750,WALK & BSTOOLTROKNE,SANTA BARBARA,SANTA BARBARA
WST LSV STBL,STORKE RSODUTH,SANTA BARBARA,SANTA BARBARA
AGROECO A2,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
AUT TELLER 2,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
BCR WP SHED,RESERVE HBIG HCWRAEEYK,SANTA CRUZ,SANTA CRUZ
CASFS SOILS,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
CL CLRM BLDG,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
CL TCUL RNER,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
COL 9 APT 5,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
COMMS TRLR 3,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
CR COLL COR M,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
CR HSG BLD 5,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
CR LIB STUDY,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
DESCART ECSR,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
EBASK BLDG G,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
EH&S TRAILR,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
EIGHT DRM AG,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
EMER RES CEN,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
FARM VEG SH,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
FUEL LOCKER,1156 HIGH STREET,SANTA CRUZ,SANTA CRUZ
GRAD HS STOR,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
HOUSG STOR 2,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
KIOSK EAST,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
KR HOUSE 03,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
KR LOUNGE,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
L CT APT 704,704 NOBEL DRIVE,SANTA CRUZ,SANTA CRUZ
L CT APT 740,740 NOBEL DRIVE,SANTA CRUZ,SANTA CRUZ
LML CARETR A,SHAFFER ROAD,SANTA CRUZ,SANTA CRUZ
LML GRNHS 08,SHAFFER ROAD,SANTA CRUZ,SANTA CRUZ
LML TRLR 08,SHAFFER R10O0A D,SANTA CRUZ,SANTA CRUZ
MBEST HQ D,3239 IMJIN RD,SANTA CRUZ,SANTA CRUZ
ME FAC CTAO M,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
ME STUD COMA,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
MTHAM DORM 2,HAMILTON R72D81 MT,SANTA CRUZ,SANTA CRUZ
MTHAM LABMES,HAMILTON R72D81 MT,SANTA CRUZ,SANTA CRUZ
MTHAM R 7217,HAMILTON 7R2D81 MT,SANTA CRUZ,SANTA CRUZ
MTHAM R 7266,HAMILTON 7R2D81 MT,SANTA CRUZ,SANTA CRUZ
MTHAM SCHOOL,HAMILTON R72D81 MT,SANTA CRUZ,SANTA CRUZ
NAT SCI 2,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
OAK C11 15,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
OAKES DORM 3,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
PE ACTIVITY,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
PORTER APT G,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
PP&C TRLR 2,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
RDWD APTS 15,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
SH 119-121,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
SH 308-316,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
SH 601-605,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
SH 712-714,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
SIGN SHOP,1156 HIGH 7S2T81 MT,SANTA CRUZ,SANTA CRUZ
ST COL SHTS E,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
ST LIB STUDY,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
TA DRAMA,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
TAPS 40 CONT,1156 HIGH STREET,SANTA CRUZ,SANTA CRUZ
UCOLICK LABB,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
VILL HSG C5,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
VILL HSG F3,1156 HIGH ST,SANTA CRUZ,SANTA CRUZ
BERKWAY 2120,BERKELEY W70A RYINCON,SYSTEMWI DE,SYSTEMWIDE
