table_name
information_schema_catalog_name
attributes
applicable_roles
administrable_role_authorizations
check_constraint_routine_usage
character_sets
check_constraints
collations
collation_character_set_applicability
column_column_usage
column_domain_usage
routines
column_privileges
role_column_grants
column_udt_usage
columns
constraint_column_usage
routine_column_usage
constraint_table_usage
domain_constraints
domain_udt_usage
routine_privileges
domains
enabled_roles
schemata
key_column_usage
role_routine_grants
parameters
referential_constraints
routine_routine_usage
routine_sequence_usage
sequences
routine_table_usage
sql_parts
sql_implementation_info
sql_features
sql_sizing
table_constraints
table_privileges
view_table_usage
role_table_grants
tables
transforms
user_mappings
triggered_update_columns
views
triggers
udt_privileges
foreign_data_wrappers
role_udt_grants
data_type_privileges
usage_privileges
role_usage_grants
user_defined_types
element_types
view_column_usage
view_routine_usage
_pg_foreign_servers
_pg_foreign_table_columns
column_options
_pg_foreign_data_wrappers
foreign_table_options
foreign_data_wrapper_options
foreign_server_options
foreign_servers
_pg_foreign_tables
user_mapping_options
foreign_tables
_pg_user_mappings
